Date ,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
11-Mar-22,3603.25,3639.85,3592.85,3603,3599.15,119798,5869407354
10-Mar-22,3684,3684,3615,3621.05,3620.95,129608,7299662363
9-Mar-22,3605,3654,3597.05,3640.7,3632.6,171411,9877225027
8-Mar-22,3460,3609,3460,3594,3599.95,182907,11787552348
7-Mar-22,3450,3548,3431.55,3481.1,3484.9,240636,10663373904
4-Mar-22,3501.5,3561.2,3487.05,3519.8,3524.35,150154,8356482129
3-Mar-22,3562.85,3578.6,3530.1,3544,3544.4,162316,6850848054
2-Mar-22,3552.5,3571.95,3506,3549,3546.15,159497,9767303516
28-Feb-22,3490,3563.75,3455.9,3550.15,3554.2,157832,11609499908
25-Feb-22,3468,3530,3462,3525,3520.75,178046,8945212715
24-Feb-22,3474,3483.85,3391.1,3400.45,3401.65,344070,17337349379
23-Feb-22,3611,3622.9,3555.65,3571.9,3563.8,166091,8689549722
22-Feb-22,3650,3667.9,3570,3590,3586.4,334519,19453348172
21-Feb-22,3810,3827.8,3705.55,3719.35,3719.4,521065,27971335681
18-Feb-22,3769,3815.95,3757.6,3800,3793.9,286278,13975451807
17-Feb-22,3825,3835,3779,3783.85,3784.2,259784,11900002925
16-Feb-22,3844,3854.1,3806,3810,3813.1,224789,12450874614
15-Feb-22,3786,3835,3748,3832.95,3817.8,347451,14878547125
14-Feb-22,3724,3793.25,3710,3729.15,3733.75,452110,22318114654
11-Feb-22,3752.5,3752.5,3690,3693,3694.95,242420,14264552938
10-Feb-22,3789.8,3789.8,3758,3765.7,3770.35,127158,7966959378
9-Feb-22,3750,3777.95,3746.1,3761.65,3760.55,124222,6164860124
8-Feb-22,3791.55,3799.7,3721,3738,3743.45,209984,11024097962
7-Feb-22,3791,3831.8,3756.15,3781.8,3779,159690,7275863611
4-Feb-22,3815.3,3824.7,3769,3818,3814.9,160651,8777283685
3-Feb-22,3851,3882.5,3816.05,3819,3824.6,137513,7549182942
2-Feb-22,3827.9,3864,3800.65,3863,3856.2,139468,7621963890
1-Feb-22,3770,3808,3736.4,3805,3800.65,149564,7960578364
31-Jan-22,3749,3758,3721.4,3744.95,3736.25,193114,10248148872
28-Jan-22,3646,3729.8,3646,3697.85,3690.05,226989,11641524811
27-Jan-22,3731,3733.4,3625.1,3652,3649.25,473910,20981028871
25-Jan-22,3769.5,3809.4,3722.2,3765,3769.9,298567,12533182477
24-Jan-22,3840,3849.65,3740.1,3769.95,3771.35,288359,12326830753
21-Jan-22,3807,3851.55,3771.1,3840,3833.5,240408,11891026050
20-Jan-22,3910,3920,3811,3833.15,3826.55,349194,23737557018
19-Jan-22,4012,4012,3910.5,3914.7,3914.65,260043,12215195983
18-Jan-22,4033.95,4041.7,3980,3993.95,3990.6,185771,9579619424
17-Jan-22,3992.7,4043,3962.3,4025,4019.15,230947,13805980840
14-Jan-22,3877.85,3977,3860.05,3965.35,3968.15,213960,13138881273
13-Jan-22,3918,3923,3857,3898,3897.9,401435,26014258280
12-Jan-22,3925,3929,3836.55,3857,3859.9,241232,12411815991
11-Jan-22,3856,3925,3856,3917,3915.9,160870,7428014700
